nombre,L_ini,L_des,L_med,L_fin,Kc_ini,Kc_med,Kc_fin,Kcb_ini,Kcb_med,Kcb_fin,h,p,Ze,few
lechuga_escarola,20,25,20,15,0.7,0.9,0.85,0.15,0.95,0.85,0.25,0.4,0.15,0.5
lechuga_conconina,20,25,20,15,0.7,0.15,0.0,0.15,0.95,0.85,0.25,0.25,0.15,0.5
repollo,25,35,40,30,0.7,1.05,0.95,0.15,1.0,0.9,0.4,0.25,0.3,0.3
apio,30,40,50,30,0.7,1.1,1.0,0.2,1.05,0.95,0.5,0.25,0.25,0.4
acelga,20,30,40,20,0.7,1.05,0.95,0.15,0.95,0.85,0.3,0.25,0.2,0.5
brocoli,20,30,40,25,0.7,1.05,0.95,0.15,1.0,0.9,0.5,0.25,0.3,0.3
tomate,30,35,40,30,0.6,1.15,0.9,0.15,1.05,0.8,0.6,0.25,0.4,0.4
choclo,25,35,50,30,0.6,1.2,0.9,0.15,1.1,0.85,1.5,0.25,0.6,0.3
cultivo_de_prueba,20,25,20,15,0.7,0.9,0.85,0.15,0.95,0.85,0.3,0.4,0.15,0.5
