nombre,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,costo,rendimiento,unidad
lechuga_escarola,11976270,10425540,11793810,11287320,11061510,11793630,13247670,13199490,11752560,10159830,9453300,9343380,5656824,36000,unidad
lechuga_conconina,12419836,10811671,12230618,11705369,11471196,12230431,13738324,13688360,12187840,10356120,9803422,9689431,4918550,35000,unidad
repollo,27298746,21894979,24694367,24194129,23116304,22205225,22985113,22800838,22587571,23361625,23215792,21906238,7105248,35000,unidad
apio,27281220,18828390,18684780,18695430,18566670,18707160,19232670,19768560,19914390,19491450,21486000,21181860,7042165,36000,unidad
acelga,31142940,24854010,24815430,23174970,21954990,21478950,23468880,23769000,22649130,21782070,22836720,23281050,6093480,36000,unidad
brocoli,22429167,18981288,19935854,19586613,18975775,18806113,19023404,18150358,19062779,18550554,17479700,17737300,5422766,35000,unidad
tomate,34605000,29285415,30758175,30219345,29276910,29015145,29350395,28003410,29411145,28620855,26968680,27366120,10319507,54000,kg
choclo,11971190,6566805,7008995,6707575,7062195,9451575,12364625,14844025,14812490,14074935,12117735,9419060,3933691,42000,unidad
cultivo_de_prueba,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,unidad
